REGION,EMPRESA,CONTRACTS
CALLAO,20602937934,1
CALLAO,20602979173,1
CALLAO,20603613474,2
CALLAO,20607284033,1
CUSCO,10004912557,1
CUSCO,10475851531,1
CUSCO,20210651706,1
CUSCO,20358000348,1
CUSCO,20399836213,1
CUSCO,20451624432,1
CUSCO,20452440912,1
CUSCO,20452677921,1
CUSCO,20490197771,1
CUSCO,20490348906,1
CUSCO,20490531425,1
CUSCO,20494299161,1
CUSCO,20523071042,1
CUSCO,20524375631,1
CUSCO,20525716342,2
CUSCO,20527109362,1
CUSCO,20527164207,1
CUSCO,20527739030,1
CUSCO,20527942773,1
CUSCO,20528003401,1
CUSCO,20528036164,1
CUSCO,20547097069,1
CUSCO,20564059171,1
CUSCO,20601338361,1
CUSCO,20601665591,1
CUSCO,20602318193,1
HUANCAVELICA,10410713506,3
HUANCAVELICA,20100364701,1
HUANCAVELICA,20101031854,1
HUANCAVELICA,20335343701,1
HUANCAVELICA,20392986601,1
HUANCAVELICA,20451961196,1
HUANCAVELICA,20452840775,1
HUANCAVELICA,20485878018,1
HUANCAVELICA,20486103079,2
HUANCAVELICA,20486132338,1
HUANCAVELICA,20486136830,2
HUANCAVELICA,20486290910,1
HUANCAVELICA,20486298147,1
HUANCAVELICA,20486354829,2
HUANCAVELICA,20486373297,1
HUANCAVELICA,20486397714,1
HUANCAVELICA,20486404273,2
HUANCAVELICA,20486572061,1
HUANCAVELICA,20486604876,1
HUANCAVELICA,20486625954,1
HUANCAVELICA,20486774445,1
HUANCAVELICA,20486815818,1
HUANCAVELICA,20486927888,1
HUANCAVELICA,20486960401,3
HUANCAVELICA,20486970465,2
HUANCAVELICA,20486974886,4
HUANCAVELICA,20486975939,1
HUANCAVELICA,20487064522,1
HUANCAVELICA,20487110141,1
HUANCAVELICA,20487181910,1
HUANCAVELICA,20494341973,4
HUANCAVELICA,20494665876,1
HUANCAVELICA,20494947774,2
HUANCAVELICA,20494951020,4
HUANCAVELICA,20495042333,1
HUANCAVELICA,20503865549,1
HUANCAVELICA,20506003351,1
HUANCAVELICA,20520970704,1
HUANCAVELICA,20529104988,1
HUANCAVELICA,20534839091,1
HUANCAVELICA,20541515195,1
HUANCAVELICA,20541517139,2
HUANCAVELICA,20541518372,1
HUANCAVELICA,20541578430,1
HUANCAVELICA,20543060918,1
HUANCAVELICA,20543764303,3
HUANCAVELICA,20548123888,1
HUANCAVELICA,20568112220,1
HUANCAVELICA,20568275013,1
HUANCAVELICA,20568339607,1
HUANCAVELICA,20568355041,6
HUANCAVELICA,20568394888,1
HUANCAVELICA,20568402732,1
HUANCAVELICA,20568459505,2
HUANCAVELICA,20568844671,1
HUANCAVELICA,20568960662,1
HUANCAVELICA,20574663246,1
HUANCAVELICA,20600112229,1
HUANCAVELICA,20600180771,3
HUANCAVELICA,20600223837,1
HUANCAVELICA,20600601891,1
HUANCAVELICA,20600659503,1
HUANCAVELICA,20600661966,1
HUANCAVELICA,20600977661,1
HUANCAVELICA,20601169941,1
HUANCAVELICA,20601480493,1
HUANCAVELICA,20601593476,1
HUANCAVELICA,20601714966,2
HUANCAVELICA,20603094302,1
HUANCAVELICA,20604152063,1
HUANCAVELICA,20604269009,1
HUANCAVELICA,20604315582,1
HUANCAVELICA,20605034684,1
HUANCAVELICA,20605487051,1
HUANCAVELICA,20606820993,1
HUANCAVELICA,20608145088,1
HUANCAVELICA,99000030216,1
HUANUCO,10805536867,7
HUANUCO,20226217003,1
HUANUCO,20227233321,1
HUANUCO,20392493671,1
HUANUCO,20393081776,3
HUANUCO,20393151812,1
HUANUCO,20393155648,1
HUANUCO,20393353105,5
HUANUCO,20408066281,1
HUANUCO,20445461084,1
HUANUCO,20445782476,1
HUANUCO,20447399840,1
HUANUCO,20455023417,1
HUANUCO,20482471995,1
HUANUCO,20482474587,1
HUANUCO,20486834529,7
HUANUCO,20486960401,1
HUANUCO,20486995450,1
HUANUCO,20489371791,5
HUANUCO,20489432413,2
